"code","cardNumber","name","rarity","visualPrompt","description","imageUrl","isActive"
"HH2026-001","1","L'Arbre Mere - Toutes Varietes","legendary","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Legendary rarity feeling. Majestic sacred presence, mythic central composition, strongest premium aura. The character has a majestic tree-shaped body with rainbow-colored leaves and holds a glowing earth globe between its hands. Clean bright minimal background with a soft vintage glow and mythic atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","La source mythique de tous les cannabinoides. Ce specimen imaginaire contient un spectre complet parfait et concentre l'ADN botanique de toutes les varietes de chanvre existantes.","","True"
"HH2026-002","2","Charlotte's Web","epic","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Epic rarity feeling. Theatrical heroic energy, elevated stage-like composition, premium but not divine. The character sits on a huge golden spider web, wears a superhero cape, and strikes a heroic pose. Clean bright minimal background with subtle theatrical depth and a premium heroic atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Variete pionniere mondialement connue pour sa richesse en CBD et son role historique aux Etats-Unis dans la democratisation du chanvre bien-etre.","","True"
"HH2026-003","3","Cannatonic","epic","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Epic rarity feeling. Theatrical heroic energy, elevated stage-like composition, premium but not divine. The character wears a majestic wizard cape and juggles several sparkling magic potion bottles. Clean bright minimal background with subtle theatrical depth and a premium heroic atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","L'une des toutes premieres varietes espagnoles a offrir un ratio CBD:THC de 1:1, celebre pour ses aromes terriens profonds et boises.","","True"
"HH2026-004","4","Harlequin","epic","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Epic rarity feeling. Theatrical heroic energy, elevated stage-like composition, premium but not divine. The character wears a colorful royal jester costume and plays a large lute on a theatrical stage. Clean bright minimal background with subtle theatrical depth and a premium heroic atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Souche a dominance sativa extremement reputee pour la constance de ses niveaux de CBD et ses saveurs complexes de mangue douce et de musc.","","True"
"HH2026-005","5","ACDC","gold","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Gold rarity feeling. Premium, flashy, energetic, playful collectible mood. The character wears a leather jacket, plays an electric guitar crackling with lightning, and sings into a microphone. Clean bright minimal background with vibrant energy and a premium playful atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Phenotype exceptionnel de Cannatonic, cette variete atteint des sommets en concentration de CBD avec un arome distinctif de citronnelle.","","True"
"HH2026-006","6","Sour Space Candy","gold","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Gold rarity feeling. Premium, flashy, energetic, playful collectible mood. The character wears a full retro space suit, floats in zero gravity, and bites into a giant candy cane. Clean bright minimal background with vibrant energy and a premium playful atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Croisement entre Sour Tsunami et Early Resin Berry, offrant un profil de saveurs unique rappelant les fruits confits et le diesel.","","True"
"HH2026-007","7","Hawaiian Haze","gold","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Gold rarity feeling. Premium, flashy, energetic, playful collectible mood. The character wears a vibrant floral shirt, a Hawaiian flower lei, and sips from a coconut through a straw. Clean bright minimal background with vibrant energy and a premium playful atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Une variete sativa qui transporte sous les tropiques grace a ses aromes intenses d'ananas, de peche et de fleurs exotiques.","","True"
"HH2026-008","8","Lifter","gold","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Gold rarity feeling. Premium, flashy, energetic, playful collectible mood. The character wears a sports headband and triumphantly lifts enormous circus dumbbells. Clean bright minimal background with vibrant energy and a premium playful atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Connue pour son effet revigorant sur l'esprit, cette souche degage des aromes puissants de poivre noir et de fromage doux.","","True"
"HH2026-009","9","Elektra","gold","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Gold rarity feeling. Premium, flashy, energetic, playful collectible mood. The character wears a superhero eye mask and shoots small lightning bolts from its gloved fingertips. Clean bright minimal background with vibrant energy and a premium playful atmosphere. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Nee du croisement entre ACDC et Early Resin Berry, elle brille par ses notes surprenantes de chocolat, de vin rouge et d'agrumes.","","True"
"HH2026-010","10","Suver Haze","silver","Vertical trading card illustration, 2:3 ratio. 1930s retro cartoon style, rubber hose animation, Cuphead-inspired aesthetic. Anthropomorphic CBD hemp flower character with large expressive black pie-cut eyes, a big cheerful smile, thin black noodle arms and legs, thick white worker gloves, oversized vintage shoes. Very thick black outlines, clean vector-like lineart, flat colors, subtle retro halftone stippling dots for shadows. Silver rarity feeling. Elegant, refined, poised, polished vintage charm. The character wears a deerstalker detective hat and carefully examines a leaf with a magnifying glass. Clean bright minimal background with refined vintage atmosphere and very light decorative context. No text, no logo, no border, no card frame, no watermark, no interface, no extra characters, no realistic rendering, no 3D look. Keep the character centered and highly readable for a collectible card set.","Riche en farnesene et en caryophyllene, cette souche offre des parfums tres epices et relaxants de pomme verte.","","True"
